9.9510 	DATA 	Mouse:  Right button up, pos=(405,520)
10.1255 	DATA 	Mouse: wheel shift=(0,0), pos=(405,520)
10.1464 	DATA 	Mouse: Right button down, pos=(405,520)
10.1633 	DATA 	Mouse: wheel shift=(0,0), pos=(405,520)
10.4582 	DATA 	Mouse: wheel shift=(0,0), pos=(548,537)
10.4763 	DATA 	Mouse: wheel shift=(0,0), pos=(582,536)
11.0014 	DATA 	Mouse:  Right button up, pos=(954,493)
11.0263 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.0459 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.0634 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.1781 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.2142 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.2148 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.2342 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.2389 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.2423 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.2581 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.2715 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.2746 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.2894 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.2923 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.3338 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.3553 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
11.4562 	DATA 	Mouse: Right button down, pos=(955,493)
11.4569 	DATA 	Mouse: wheel shift=(0,0), pos=(955,493)
12.0807 	DATA 	Mouse:  Right button up, pos=(748,499)
12.1000 	DATA 	Mouse: wheel shift=(0,0), pos=(733,499)
12.1002 	DATA 	Mouse: wheel shift=(0,0), pos=(733,499)
12.6513 	DATA 	Mouse: wheel shift=(0,0), pos=(733,499)
12.6907 	DATA 	Mouse: Right button down, pos=(733,499)
12.6913 	DATA 	Mouse: wheel shift=(0,0), pos=(733,499)
13.1471 	DATA 	Mouse:  Right button up, pos=(778,489)
13.3894 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.3931 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.4083 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.4273 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.4279 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.4324 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.4509 	DATA 	Mouse: wheel shift=(1,0), pos=(779,489)
13.4552 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.4709 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.4739 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.4892 	DATA 	Mouse: wheel shift=(1,0), pos=(779,489)
13.4898 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.5099 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.5143 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.5331 	DATA 	Mouse: wheel shift=(1,0), pos=(779,489)
13.5502 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.5570 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.5707 	DATA 	Mouse: wheel shift=(1,0), pos=(779,489)
13.5720 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.5851 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.5896 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.6080 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.6224 	DATA 	Mouse: wheel shift=(1,0), pos=(779,489)
13.6468 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.6473 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.6667 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.6851 	DATA 	Mouse: wheel shift=(1,0), pos=(779,489)
13.6895 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.7066 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.7313 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.7327 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.7521 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.7684 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.7886 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.8141 	DATA 	Mouse: wheel shift=(1,0), pos=(779,489)
13.8176 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
13.8178 	DATA 	Mouse: wheel shift=(0,0), pos=(779,489)
